127.0.0.1 - - [17/Aug/2016:14:42:59 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:42:59 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:43:49 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:45:07 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:45:07 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:06 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:06 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:07 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:07 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 404 989
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:51 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:46:51 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 200 99105
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:47:04 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:47:04 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:48:45 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:48:45 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:48:55 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:48:55 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:02 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:02 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:02 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:02 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:03 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:03 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:39 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:40 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:41 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:14:54:41 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:04:00 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:04:00 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:04:13 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:04:13 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:20:17 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:20:17 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:22:24 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:22:24 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:23:55 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:23:55 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:32:28 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:32:28 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:32:43 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:32:43 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:28 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:28 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:51 +0530] "GET /learnhtml/first.html HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:51 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:52 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:52 +0530] "GET /learnhtml/image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Aug/2016:15:34:53 +0530] "GET /learnhtml/first.html HTTP/1.1" 304 -
