127.0.0.1 - - [07/Sep/2016:13:35:12 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:35:14 +0530] "GET /quiz/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:42:40 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:43:28 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:47:15 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:47:59 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:52:04 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:53:28 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:53:57 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:56:58 +0530] "GET /quiz/verify.jsp?a=c HTTP/1.1" 500 2504
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:57:10 +0530] "GET /quiz/verify.jsp?a=c HTTP/1.1" 500 2500
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:58:23 +0530] "GET /quiz/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:58:24 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [07/Sep/2016:13:58:26 +0530] "GET /quiz/verify.jsp?a=correct HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:01:10 +0530] "GET /quiz/verify.jsp?a=correct HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:02:19 +0530] "GET /quiz/verify.jsp?a=correct HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:06:03 +0530] "GET /quiz/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:06:04 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:06:06 +0530] "POST /quiz/verify.jsp HTTP/1.1" 500 2508
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:07:14 +0530] "GET /quiz/index.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:07:15 +0530] "GET /quiz/start.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [07/Sep/2016:14:07:17 +0530] "POST /quiz/verify.jsp HTTP/1.1" 500 2606
