127.0.0.1 - - [17/Nov/2016:00:14:19 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:14:20 +0530] "GET /learnJavascript/first.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:14:39 +0530] "GET /learnJavascript/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:14:39 +0530] "GET /learnJavascript/first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:16:39 +0530] "GET /learnJavascript/example.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:18:18 +0530] "GET /learnJavascript/example.html HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:18:39 +0530] "GET /learnJavascript/example.html HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:26:30 +0530] "GET /learnJavascript/syntax.html HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:49:02 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:54:20 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:55:12 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:56:09 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:56:24 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:57:49 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [17/Nov/2016:00:59:55 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [17/Nov/2016:01:00:17 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [17/Nov/2016:01:00:51 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2016:01:01:43 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [17/Nov/2016:01:02:58 +0530] "GET /learnJavascript/functionAndSimpleProject.html HTTP/1.1" 200 503
