127.0.0.1 - - [31/Dec/2016:15:52:45 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Dec/2016:15:52:47 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [31/Dec/2016:15:54:40 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [31/Dec/2016:15:55:05 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [31/Dec/2016:15:55:19 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [31/Dec/2016:15:59:10 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:01:07 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:01:07 +0530] "GET /hotel/styles.css HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:08 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:08 +0530] "GET /hotel/styles.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:09 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:09 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:09 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:09 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:14 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:14 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:14 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:14 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:44 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:45 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:57 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:02:57 +0530] "GET /hotel/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2016:16:04:27 +0530] "GET /hotel/index.jsp HTTP/1.1" 200 4259
